id_station_itinerance,id_pdc_itinerance,puissance_nominale
FRPD1PHLIGPS,FRPD1EHLIGPSKPC200016,100.0
FRPD1PCORSMC,FRPD1ECORSMCUFC200012,22.0
FRPD1PSYUFTY,FRPD1ESYUFTYKP200013,100.0
FRPD1PCHAMON,FRPD1ECHAMONALF0021,22.0
FRHXWPMETAMP,FRHXWEMETAMP0021,7.0
FRPD1PIBSHGN,FRPD1EIBSHGNALF0012,22.0
FRPD1PDRTAUR,FRPD1EDRTAURKPC200016,100.0
FRPD1PITMVRT,FRPD1EITMVRTKPC200012,160.0
FRPD1PSYUAST,FRPD1ESYUASTKPC200015,100.0
FRPD1PDRTAUR,FRPD1EDRTAURKPC200018,100.0
FRPD1PIBSPTR,FRPD1EIBSPTRKPS200011,50.0
FRPD1PCAPSAR,FRPD1ECAPSARKP200015,200.0
FRETIP76312A,FRETIE76312A11,100.0
FRPD1PSCISCM,FRPD1ESCISCMKPC200016,100.0
FRBMPP202793P50096601769244,FRBMPE8233,22.0
FRVIAP161005,FRVIAE20161005031,400.0
FRPD1PMATARM,FRPD1EMATARMKP0014,100.0
FRPD1PCORMET,FRPD1ECORMETKPC200018,100.0
FRPD1PACCIBE,FRPD1EACCIBEKP200011,160.0
FRPD1PCTIBGL02,FRPD1ECTIBGLKPS50023,22.0
FRVIAP122013,FRVIAE12346100402,22.0
FRPD1PHOLAVI,FRPD1EHOLAVITTN120011,120.0
FRVIAP122013,FRVIAE12346100401,22.0
FRPD1PFONCHT,FRPD1EFONCHTXBBC0023,200.0
FRETIP76057A,FRETIE76057A14,100.0
FRPD1PCORFOR,FRPD1ECORFORKPC50013,22.0
FRPD1PGENBAY,FRPD1EGENBAYBBP100011,100.0
FRVIAP122013,FRVIAE12346100412,22.0
FRELCP12954031,FRELCEQ69D,22.0
FRPD1PDSJRAD,FRPD1EDSJRADKPC200017,50.0
FRPD1PBLGANG,FRPD1EBLGANGALFS22011,22.0
FRETIP44143A,FRETIE44143A12,180.0
FRLDLPLFR0440EVCP,FRLDLE00004600,120.0
FRPD1PITMCPV02,FRPD1EITMCPVALFD22011,22.0
FRPD1PLIDBRI,FRPD1ELIDBRIKPS200012,160.0
FRPD1PITMLYS,FRPD1EITMLYSALF220011,22.0
FRPD1PITMNOI,FRPD1EITMNOIKPC200011,50.0
FRETIP76312A,FRETIE76312A12,100.0
