,Created At,Updated At,ID,Adresse Station,Code Insee Commune,CoordonneesXY,region,dept,com
54,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",fbd13528-b377-4143-b0b4-0ca6c37ca2c9,1 Place des remparts 83310 Grimaud,,0101000020E610000001DD9733DB151A40FF774485EAA24540,75,87,87013
55,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",65053104-d122-43e3-a79b-5ba1ad52308c,1 Chemin de l'Estagnet 83990 Saint-Tropez,,0101000020E61000002844C02154A91A40672783A3E4A14540,32,62,62416
56,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e69c75ef-73c8-4104-ab9e-a9a90cd8c454,67 Boulevard de Gigaro 83420 La Croix-Valmer,,0101000020E61000002EC55565DF651A4086A92D7590974540,84,69,69002
57,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",fc66df09-1f9b-486a-b33e-c357988f129b,2 Rue du Train des Pignes 83420 La Croix-Valmer,,0101000020E61000002593533BC3441A4006F69848699A4540,28,14,14256
58,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",1913a6ff-a60d-4579-b7e1-afa6aea9a55d,2 Boulevard Sainte Anne 83480 Puget-sur-Argens,,0101000020E610000011902FA182D31A405F46B1DCD2B84540,84,38,38074
59,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",d5d9c33a-cd7f-4ea2-86d8-26cbbb380203,1 Avenue General de Gaulle 83990 Saint-Tropez,,0101000020E6100000B4C876BE9F8A1A40DFC325C79DA24540,,,52140
60,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",9177088e-1448-41f8-beef-c6d5d9c16d5b,4 Rocade Charles de Gaulle 84000 Avignon,,0101000020E6100000C1FEEBDCB449134086C8E9EBF9F64540,24,37,37089
61,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",a9049a74-72f3-467b-b339-8cc71a4f9f9a,0 Rue Paul Pamard 84000 Avignon,,0101000020E61000001CF0F961844013401EA8531EDDF64540,84,73,73103
62,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",7df7326d-855f-43b6-81b6-4a9a063d08f8,0 Rue Pierre Seghers 84000 Avignon,,0101000020E610000053758F6CAE5A13405517F032C3F64540,27,21,21205
63,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",3e4a1322-3887-429a-84db-553ef5a8becf,100 Avenue de la Trillade 84000 Avignon,,0101000020E610000046B1DCD26A481340734A404CC2F74540,75,16,16111
64,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",cae79cae-f82e-4cf1-9c5b-c1fc161674df,19-1 Boulevard Gambetta 84000 Avignon,,0101000020E61000001F86562767381340ACFD9DEDD1F74540,84,74,74233
65,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",44ca45a1-ec1e-42a8-8274-aea299cc84c2,163 Avenue Tarascon 84000 Avignon,,0101000020E6100000EF3A1BF2CF3C13401B800D8810F74540,84,74,74009
66,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",9216351d-fea3-49de-ae28-85a4f912a5e1,6 Rue Universelle 84000 Avignon,,0101000020E610000055336B29203D134076A565A4DEF74540,76,48,48198
67,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",d89f8b05-a523-484f-9e4c-fb406a1b3288,0 Avenue Eisenhower 84000 Avignon,,0101000020E6100000BDC458A65F321340C64FE3DEFCF64540,32,02,02197
68,"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",5c3bfc40-52c5-4bdb-8b08-4a334e9b13da,Rue De Saint-Mandrier 83140 Six-Fours-les-Plages,,0101000020E6100000EA5BE674595C174061527C7C428E4540,84,69,69201
69,"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",58dd68fd-71af-45ab-b8a9-67dab83c5c7f,D252 83840 Le Bourguet ,,0101000020E6100000E4A25A4414131A40AE9E93DE37E44540,75,33,33521
70,"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",a3d621c1-5ab8-4c64-ad31-7e6c54afada1,Route de Vienne 38460 Chamagnieu,,0101000020E6100000CFDA6D179AAB14401E166A4DF3D64640,76,11,11022
71,"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",288ed923-adad-4c7e-81e8-ca5447bfb31c,Chemin du Grand Clos 07700 Saint-Martin-D'Ardèche,,0101000020E6100000D3DC0A613546124097C62FBC92264640,32,62,62148
